Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Brazil,Delmiro Gouveia,25,Good,0,Good,9,Good,1,Good,25,Good
Uruguay,Delta Del Tigre,38,Good,1,Good,19,Good,2,Good,38,Good
India,Delvada,158,Unhealthy,0,Good,25,Good,0,Good,158,Unhealthy
Russian Federation,Desnogorsk,34,Good,1,Good,34,Good,0,Good,10,Good
Turkey,Develi,46,Good,1,Good,29,Good,0,Good,46,Good
India,Dewa,173,Unhealthy,3,Good,159,Unhealthy,1,Good,173,Unhealthy
Turkey,Dinar,44,Good,1,Good,33,Good,0,Good,44,Good
Ukraine,Dniprorudne,39,Good,1,Good,39,Good,0,Good,12,Good
Benin,Dogbo,101,Unhealthy for Sensitive Groups,3,Good,18,Good,2,Good,101,Unhealthy for Sensitive Groups
Russian Federation,Donskoye,37,Good,1,Good,37,Good,0,Good,30,Good
United States of America,Dumas,60,Moderate,1,Good,22,Good,3,Good,60,Moderate
United Republic of Tanzania,Dunda,23,Good,0,Good,17,Good,0,Good,23,Good
United States of America,Dyersburg,93,Moderate,1,Good,24,Good,5,Good,93,Moderate
United States of America,Eatontown,28,Good,1,Good,28,Good,8,Good,25,Good
Mexico,Ebano,91,Moderate,2,Good,22,Good,3,Good,91,Moderate
United States of America,El Campo,39,Good,1,Good,22,Good,1,Good,39,Good
Mexico,El Pueblito,66,Moderate,1,Good,10,Good,5,Good,66,Moderate
Bolivia (Plurinational State of),El Torno,6,Good,0,Good,5,Good,0,Good,6,Good
United States of America,Ellicott City,44,Good,1,Good,27,Good,10,Good,44,Good
Pakistan,Eminabad,153,Unhealthy,3,Good,153,Unhealthy,1,Good,152,Unhealthy
Japan,Ena,42,Good,1,Good,42,Good,0,Good,12,Good
Italy,Giussano,62,Moderate,1,Good,32,Good,4,Good,62,Moderate
United Kingdom of Great Britain and Northern Ireland,Glenrothes,35,Good,1,Good,22,Good,6,Good,35,Good
United Kingdom of Great Britain and Northern Ireland,Glossop,27,Good,1,Good,25,Good,3,Good,27,Good
Namibia,Gobabis,19,Good,0,Good,18,Good,0,Good,19,Good
India,Gobindapur,198,Unhealthy,3,Good,91,Moderate,3,Good,198,Unhealthy
India,Gobindpur,175,Unhealthy,1,Good,51,Moderate,1,Good,175,Unhealthy
Spain,Godella,33,Good,1,Good,33,Good,1,Good,28,Good
India,Gohad,194,Unhealthy,1,Good,46,Good,0,Good,194,Unhealthy
India,Gohana,500,Hazardous,1,Good,47,Good,1,Good,500,Hazardous
Brazil,Goiatuba,37,Good,1,Good,3,Good,3,Good,37,Good
Netherlands,Goirle,30,Good,0,Good,30,Good,2,Good,27,Good
United States of America,Golden Glades,61,Moderate,1,Good,10,Good,16,Good,61,Moderate
Poland,Goleniow,32,Good,1,Good,24,Good,3,Good,32,Good
Iran (Islamic Republic of),Gonbad E Qabus,84,Moderate,1,Good,45,Good,0,Good,84,Moderate
Russian Federation,Gorodishche,33,Good,1,Good,33,Good,1,Good,21,Good
Japan,Gotsu,44,Good,1,Good,44,Good,0,Good,15,Good
Albania,Gramsh,68,Moderate,1,Good,39,Good,1,Good,68,Moderate
United States of America,Granger,57,Moderate,2,Good,21,Good,11,Good,57,Moderate
United States of America,Grants Pass,29,Good,1,Good,29,Good,2,Good,27,Good
,Granville,30,Good,1,Good,30,Good,3,Good,25,Good
Mexico,Guasave,35,Good,1,Good,22,Good,1,Good,35,Good
Germany,Guben,37,Good,1,Good,21,Good,4,Good,37,Good
Cameroon,Guider,76,Moderate,3,Good,8,Good,1,Good,76,Moderate
China,Guilin,90,Moderate,3,Good,46,Good,3,Good,90,Moderate
France,Guipavas,34,Good,1,Good,26,Good,9,Good,34,Good
United States of America,Fort Walton Beach,65,Moderate,1,Good,30,Good,1,Good,65,Moderate
France,Fosses,29,Good,0,Good,28,Good,2,Good,29,Good
United States of America,Fountain Hills,37,Good,1,Good,27,Good,8,Good,37,Good
United States of America,Fountain,72,Moderate,1,Good,29,Good,3,Good,72,Moderate
Brazil,Francisco Morato,169,Unhealthy,7,Good,0,Good,21,Good,169,Unhealthy
Germany,Freiberg,36,Good,1,Good,25,Good,3,Good,36,Good
United States of America,Front Royal,46,Good,1,Good,37,Good,2,Good,46,Good
Japan,Fuchu,71,Moderate,1,Good,71,Moderate,3,Good,49,Good
Germany,Gaggenau,29,Good,0,Good,29,Good,2,Good,26,Good
Israel,Gan Yavne,77,Moderate,1,Good,43,Good,6,Good,77,Moderate
India,Gauribidanur,48,Good,0,Good,24,Good,0,Good,48,Good
Spain,Gava,57,Moderate,1,Good,19,Good,10,Good,57,Moderate
Italy,Gela,53,Moderate,1,Good,38,Good,2,Good,53,Moderate
Netherlands,Gennep,30,Good,0,Good,25,Good,3,Good,30,Good
Germany,Genthin,31,Good,0,Good,30,Good,1,Good,31,Good
Guyana,Georgetown,27,Good,0,Good,19,Good,0,Good,27,Good
Germany,Gera,30,Good,0,Good,28,Good,2,Good,30,Good
India,Gevrai,120,Unhealthy for Sensitive Groups,1,Good,30,Good,0,Good,120,Unhealthy for Sensitive Groups
United States of America,Lake Jackson,25,Good,0,Good,24,Good,2,Good,25,Good
United States of America,Lakeside,57,Moderate,2,Good,22,Good,14,Good,57,Moderate
Thailand,Lam Luk Ka,66,Moderate,1,Good,28,Good,1,Good,66,Moderate
Philippines,Lamacan,70,Moderate,1,Good,21,Good,0,Good,70,Moderate
Iran (Islamic Republic of),Lar,105,Unhealthy for Sensitive Groups,1,Good,49,Good,0,Good,105,Unhealthy for Sensitive Groups
Brazil,Laranjeiras Do Sul,12,Good,1,Good,12,Good,0,Good,11,Good
China,Lasa,25,Good,0,Good,25,Good,0,Good,12,Good
India,Lasalgaon,129,Unhealthy for Sensitive Groups,0,Good,30,Good,0,Good,129,Unhealthy for Sensitive Groups
Germany,Lauda Konigshofen,32,Good,1,Good,27,Good,3,Good,32,Good
France,Le Port,42,Good,1,Good,28,Good,0,Good,42,Good
Brazil,Lencois Paulista,34,Good,1,Good,13,Good,1,Good,34,Good
Colombia,Lerida,60,Moderate,2,Good,8,Good,4,Good,60,Moderate
Netherlands,Leusden,33,Good,0,Good,33,Good,1,Good,26,Good
United Kingdom of Great Britain and Northern Ireland,Lewes,37,Good,1,Good,12,Good,13,Good,37,Good
Philippines,Lianga,50,Good,1,Good,20,Good,0,Good,50,Good
France,Libourne,46,Good,1,Good,26,Good,2,Good,46,Good
Germany,Limbach Oberfrohna,31,Good,0,Good,28,Good,1,Good,31,Good
Malaysia,Limbang,95,Moderate,9,Good,95,Moderate,0,Good,46,Good
China,Lishan,192,Unhealthy,4,Good,192,Unhealthy,6,Good,124,Unhealthy for Sensitive Groups
Czechia,Litovel,49,Good,1,Good,24,Good,2,Good,49,Good
Belgium,Lokeren,31,Good,0,Good,31,Good,2,Good,31,Good
Belgium,Londerzeel,34,Good,0,Good,29,Good,3,Good,34,Good
Netherlands,Loon Op Zand,32,Good,0,Good,27,Good,3,Good,32,Good
Congo,Loubomo,100,Unhealthy for Sensitive Groups,1,Good,16,Good,0,Good,100,Unhealthy for Sensitive Groups
Senegal,Louga,176,Unhealthy,2,Good,21,Good,3,Good,176,Unhealthy
Poland,Lubin,35,Good,1,Good,20,Good,3,Good,35,Good
Poland,Lublin,32,Good,1,Good,32,Good,1,Good,28,Good
Indonesia,Lubuk Pakam,98,Moderate,2,Good,47,Good,0,Good,98,Moderate
Philippines,Lucena,32,Good,1,Good,29,Good,0,Good,32,Good
India,Lunavada,164,Unhealthy,1,Good,35,Good,0,Good,164,Unhealthy
Ukraine,Lvov,61,Moderate,1,Good,29,Good,1,Good,61,Moderate
Brazil,Macapa,16,Good,1,Good,12,Good,0,Good,16,Good
Pakistan,Madeji,167,Unhealthy,1,Good,49,Good,1,Good,167,Unhealthy
Lesotho,Mafeteng,117,Unhealthy for Sensitive Groups,4,Good,14,Good,7,Good,117,Unhealthy for Sensitive Groups
United States of America,Magnolia,56,Moderate,1,Good,25,Good,2,Good,56,Moderate
United Republic of Tanzania,Magomeni,50,Good,0,Good,23,Good,0,Good,50,Good
India,Mahbubabad,119,Unhealthy for Sensitive Groups,1,Good,35,Good,0,Good,119,Unhealthy for Sensitive Groups
India,Mahoba,180,Unhealthy,1,Good,45,Good,0,Good,180,Unhealthy
India,Maihar,171,Unhealthy,1,Good,36,Good,0,Good,171,Unhealthy
India,Mainpuri,434,Hazardous,1,Good,53,Moderate,1,Good,362,Hazardous
United States of America,Maitland,53,Moderate,1,Good,18,Good,14,Good,53,Moderate
Ukraine,Makiyivka,50,Good,1,Good,24,Good,11,Good,50,Good
France,Malakoff,40,Good,1,Good,26,Good,3,Good,40,Good
Philippines,Malandag,55,Moderate,1,Good,19,Good,0,Good,55,Moderate
Benin,Malanville,34,Good,1,Good,18,Good,1,Good,34,Good
Iran (Islamic Republic of),Malard,172,Unhealthy,3,Good,172,Unhealthy,5,Good,145,Unhealthy for Sensitive Groups
Italy,Malnate,69,Moderate,1,Good,22,Good,6,Good,69,Moderate
Mongolia,Mandalgovi,38,Good,0,Good,38,Good,0,Good,34,Good
India,Mangawan,184,Unhealthy,1,Good,39,Good,1,Good,184,Unhealthy
Democratic Republic of the Congo,Manono,74,Moderate,2,Good,23,Good,1,Good,74,Moderate
Venezuela (Bolivarian Republic of),Maracaibo,118,Unhealthy for Sensitive Groups,1,Good,17,Good,4,Good,118,Unhealthy for Sensitive Groups
Italy,Marano Di Napoli,52,Moderate,1,Good,52,Moderate,1,Good,36,Good
India,Gunnaur,500,Hazardous,1,Good,73,Moderate,1,Good,500,Hazardous
Germany,Hagen,30,Good,0,Good,30,Good,1,Good,25,Good
China,Haian,207,Very Unhealthy,4,Good,207,Very Unhealthy,3,Good,150,Unhealthy
France,Halluin,35,Good,0,Good,28,Good,2,Good,35,Good
Germany,Hamburg,34,Good,0,Good,28,Good,2,Good,34,Good
United States of America,Hanahan,73,Moderate,2,Good,35,Good,8,Good,73,Moderate
Japan,Hanamaki,38,Good,1,Good,38,Good,0,Good,20,Good
India,Hangal,70,Moderate,0,Good,22,Good,0,Good,70,Moderate
Bulgaria,Harmanli,40,Good,1,Good,40,Good,1,Good,24,Good
Pakistan,Harunabad,500,Hazardous,1,Good,43,Good,0,Good,443,Hazardous
Germany,Hattingen,28,Good,0,Good,27,Good,2,Good,28,Good
United States of America,Hauppauge,52,Moderate,1,Good,27,Good,12,Good,52,Moderate
United States of America,Hayward,70,Moderate,2,Good,20,Good,20,Good,70,Moderate
Finland,Heinola,33,Good,0,Good,33,Good,0,Good,5,Good
Japan,Hekinan,59,Moderate,1,Good,59,Moderate,1,Good,23,Good
Germany,Hemsbach,30,Good,0,Good,30,Good,1,Good,24,Good
China,Hengyang,169,Unhealthy,4,Good,169,Unhealthy,3,Good,150,Unhealthy
Japan,Hirata,45,Good,1,Good,45,Good,0,Good,16,Good
Japan,Hobara,44,Good,1,Good,44,Good,0,Good,22,Good
United States of America,Hoboken,61,Moderate,1,Good,27,Good,11,Good,61,Moderate
Somalia,Hobyo,58,Moderate,0,Good,21,Good,0,Good,58,Moderate
Japan,Hofu,44,Good,1,Good,44,Good,0,Good,32,Good
Solomon Islands,Honiara,18,Good,0,Good,18,Good,0,Good,6,Good
India,Honnali,65,Moderate,0,Good,22,Good,0,Good,65,Moderate
Paraguay,Horqueta,20,Good,0,Good,20,Good,0,Good,20,Good
Armenia,Hrazdan,31,Good,0,Good,31,Good,0,Good,30,Good
China,Hsinchu,138,Unhealthy for Sensitive Groups,3,Good,138,Unhealthy for Sensitive Groups,2,Good,112,Unhealthy for Sensitive Groups
Peru,Huaura,39,Good,1,Good,19,Good,1,Good,39,Good
Zimbabwe,Hwange,44,Good,0,Good,17,Good,0,Good,44,Good
Japan,Ichihara,74,Moderate,1,Good,74,Moderate,1,Good,35,Good
India,Idukki,51,Moderate,0,Good,23,Good,0,Good,51,Moderate
Nigeria,Ikom,125,Unhealthy for Sensitive Groups,5,Good,16,Good,2,Good,125,Unhealthy for Sensitive Groups
India,Khed,95,Moderate,0,Good,22,Good,0,Good,95,Moderate
India,Khetri,500,Hazardous,1,Good,40,Good,0,Good,376,Hazardous
Russian Federation,Khimki,40,Good,1,Good,30,Good,8,Good,40,Good
India,Khopoli,108,Unhealthy for Sensitive Groups,0,Good,23,Good,0,Good,108,Unhealthy for Sensitive Groups
Namibia,Khorixas,72,Moderate,0,Good,19,Good,0,Good,72,Moderate
Ukraine,Khotyn,75,Moderate,1,Good,37,Good,1,Good,75,Moderate
United Republic of Tanzania,Kibara,20,Good,0,Good,14,Good,0,Good,20,Good
Turkey,Kilis,64,Moderate,1,Good,41,Good,0,Good,64,Moderate
Ukraine,Kiliya,37,Good,1,Good,37,Good,0,Good,30,Good
United States of America,Killeen,40,Good,0,Good,21,Good,1,Good,40,Good
Russian Federation,Kinel Cherkassy,35,Good,1,Good,35,Good,0,Good,15,Good
,Kingston Upon Hull,33,Good,1,Good,17,Good,8,Good,33,Good
Austria,Klosterneuburg,59,Moderate,1,Good,30,Good,3,Good,59,Moderate
Croatia,Knin,48,Good,1,Good,48,Good,0,Good,35,Good
Papua New Guinea,Kokopo,104,Unhealthy for Sensitive Groups,0,Good,22,Good,0,Good,104,Unhealthy for Sensitive Groups
Russian Federation,Kola,30,Good,1,Good,30,Good,0,Good,10,Good
Czechia,Kolin,50,Good,1,Good,23,Good,4,Good,50,Good
Poland,Kolo,32,Good,1,Good,32,Good,1,Good,29,Good
Russian Federation,Komsomolsk Na Amure,42,Good,1,Good,32,Good,0,Good,42,Good
Poland,Konskie,46,Good,1,Good,21,Good,4,Good,46,Good
Pakistan,Kot Radha Kishan,230,Very Unhealthy,5,Good,130,Unhealthy for Sensitive Groups,9,Good,230,Very Unhealthy
Russian Federation,Kotelnikovo,39,Good,1,Good,39,Good,0,Good,20,Good
India,Kottaiyur,72,Moderate,1,Good,28,Good,2,Good,72,Moderate
Chad,Koumra,59,Moderate,2,Good,6,Good,0,Good,59,Moderate
India,Koyilandi,69,Moderate,0,Good,26,Good,0,Good,69,Moderate
Ukraine,Kozyatyn,78,Moderate,1,Good,38,Good,0,Good,78,Moderate
Russian Federation,Krasnovishersk,29,Good,1,Good,28,Good,0,Good,29,Good
Russian Federation,Krasnyy Yar,34,Good,1,Good,34,Good,1,Good,24,Good
Germany,Kronach,36,Good,1,Good,26,Good,2,Good,36,Good
Germany,Kronberg,30,Good,0,Good,30,Good,1,Good,27,Good
Ukraine,Kryvyy Rih,52,Moderate,1,Good,36,Good,1,Good,52,Moderate
India,Kudligi,74,Moderate,0,Good,24,Good,0,Good,74,Moderate
Russian Federation,Kulebaki,48,Good,1,Good,33,Good,1,Good,48,Good
India,Kushalnagar,54,Moderate,0,Good,21,Good,0,Good,54,Moderate
Japan,Kushiro,33,Good,1,Good,33,Good,0,Good,9,Good
Myanmar,Kyaiklat,61,Moderate,0,Good,21,Good,0,Good,61,Moderate
Mexico,La Barca,37,Good,1,Good,8,Good,3,Good,37,Good
France,La Crau,60,Moderate,1,Good,30,Good,6,Good,60,Moderate
Honduras,La Entrada,55,Moderate,2,Good,5,Good,4,Good,55,Moderate
United States of America,La Presa,58,Moderate,2,Good,14,Good,19,Good,58,Moderate
Brazil,Ladario,17,Good,1,Good,17,Good,0,Good,12,Good
Brazil,Lagoa Da Canoa,34,Good,0,Good,15,Good,2,Good,34,Good
Germany,Ilsede,41,Good,0,Good,28,Good,2,Good,41,Good
Brazil,Imbituba,31,Good,1,Good,15,Good,1,Good,31,Good
Brazil,Imbituva,24,Good,1,Good,8,Good,0,Good,24,Good
Japan,Inagi,78,Moderate,1,Good,78,Moderate,3,Good,51,Moderate
Spain,Inca,43,Good,1,Good,43,Good,0,Good,30,Good
India,Indergarh,390,Hazardous,1,Good,54,Moderate,1,Good,335,Hazardous
India,Indore,150,Unhealthy,1,Good,30,Good,0,Good,150,Unhealthy
Nigeria,Inisa,159,Unhealthy,6,Good,16,Good,5,Good,159,Unhealthy
United Kingdom of Great Britain and Northern Ireland,Inverurie,31,Good,1,Good,31,Good,2,Good,25,Good
Japan,Ishigaki,116,Unhealthy for Sensitive Groups,2,Good,116,Unhealthy for Sensitive Groups,0,Good,64,Moderate
Côte d'Ivoire,Issia,84,Moderate,2,Good,10,Good,1,Good,84,Moderate
Brazil,Itabera,16,Good,0,Good,16,Good,0,Good,16,Good
Brazil,Itaiba,28,Good,0,Good,14,Good,1,Good,28,Good
Ukraine,Izyaslav,59,Moderate,1,Good,31,Good,0,Good,59,Moderate
Ukraine,Izyum,51,Moderate,1,Good,34,Good,1,Good,51,Moderate
Spain,Jaen,36,Good,1,Good,17,Good,3,Good,36,Good
India,Jagtial,139,Unhealthy for Sensitive Groups,1,Good,31,Good,0,Good,139,Unhealthy for Sensitive Groups
India,Jahangirpur,500,Hazardous,1,Good,49,Good,1,Good,493,Hazardous
India,Jamadoba,174,Unhealthy,1,Good,59,Moderate,1,Good,174,Unhealthy
India,Jandiala,156,Unhealthy,5,Good,124,Unhealthy for Sensitive Groups,10,Good,156,Unhealthy
China,Jijiang,162,Unhealthy,10,Good,79,Moderate,25,Good,162,Unhealthy
Mexico,Jilotepec,95,Moderate,2,Good,9,Good,9,Good,95,Moderate
India,Jintur,130,Unhealthy for Sensitive Groups,1,Good,31,Good,0,Good,130,Unhealthy for Sensitive Groups
China,Jinxi,93,Moderate,2,Good,51,Moderate,2,Good,93,Moderate
Poland,Jozefow,43,Good,1,Good,30,Good,3,Good,43,Good
Germany,Juchen,34,Good,1,Good,23,Good,3,Good,34,Good
United Republic of Tanzania,Kabanga,171,Unhealthy,6,Good,10,Good,3,Good,171,Unhealthy
China,Kaitong,95,Moderate,2,Good,79,Moderate,0,Good,95,Moderate
Finland,Kajaani,32,Good,1,Good,32,Good,0,Good,24,Good
India,Kakrala,500,Hazardous,2,Good,95,Moderate,2,Good,478,Hazardous
India,Kalavai,59,Moderate,1,Good,32,Good,0,Good,59,Moderate
Russian Federation,Kalyazin,24,Good,1,Good,24,Good,0,Good,19,Good
Ukraine,Kalynivka,78,Moderate,1,Good,36,Good,1,Good,78,Moderate
Cambodia,Kampot,59,Moderate,1,Good,27,Good,0,Good,59,Moderate
Pakistan,Kamra,135,Unhealthy for Sensitive Groups,2,Good,135,Unhealthy for Sensitive Groups,1,Good,86,Moderate
India,Kandhla,500,Hazardous,3,Good,53,Moderate,8,Good,500,Hazardous
Finland,Kangasala,30,Good,1,Good,30,Good,2,Good,14,Good
China,Kangshan,201,Very Unhealthy,3,Good,201,Very Unhealthy,4,Good,142,Unhealthy for Sensitive Groups
India,Karambakkudi,84,Moderate,1,Good,40,Good,1,Good,84,Moderate
India,Kargil,23,Good,1,Good,21,Good,0,Good,23,Good
India,Kartarpur,168,Unhealthy,3,Good,168,Unhealthy,2,Good,146,Unhealthy for Sensitive Groups
India,Katol,144,Unhealthy for Sensitive Groups,1,Good,36,Good,0,Good,144,Unhealthy for Sensitive Groups
Russian Federation,Kavkazskaya,38,Good,1,Good,37,Good,1,Good,38,Good
Japan,Kawaguchi,75,Moderate,1,Good,75,Moderate,1,Good,34,Good
United States of America,Kearns,54,Moderate,1,Good,6,Good,14,Good,54,Moderate
Hungary,Kecskemet,65,Moderate,1,Good,27,Good,2,Good,65,Moderate
Belgium,Keerbergen,39,Good,1,Good,23,Good,5,Good,39,Good
Turkey,Kemalpasa,37,Good,1,Good,31,Good,5,Good,37,Good
United States of America,Kerrville,36,Good,0,Good,20,Good,1,Good,36,Good
United States of America,Kettering,53,Moderate,1,Good,31,Good,6,Good,53,Moderate
India,Khammam,112,Unhealthy for Sensitive Groups,1,Good,29,Good,2,Good,112,Unhealthy for Sensitive Groups
India,Khandwa,130,Unhealthy for Sensitive Groups,0,Good,31,Good,0,Good,130,Unhealthy for Sensitive Groups
Italy,Marsciano,40,Good,1,Good,40,Good,2,Good,23,Good
France,Marseille,59,Moderate,1,Good,37,Good,6,Good,59,Moderate
United States of America,Mashpee,29,Good,1,Good,29,Good,2,Good,17,Good
Uganda,Masindi,62,Moderate,2,Good,17,Good,0,Good,62,Moderate
Malaysia,Masjid Tanah,79,Moderate,2,Good,36,Good,0,Good,79,Moderate
Chad,Massakory,65,Moderate,2,Good,23,Good,1,Good,65,Moderate
United Republic of Tanzania,Matai,19,Good,0,Good,19,Good,0,Good,19,Good
Tunisia,Matir,57,Moderate,1,Good,57,Moderate,1,Good,53,Moderate
Germany,Maxhutte Haidhof,44,Good,1,Good,35,Good,2,Good,44,Good
Philippines,Medellin,78,Moderate,1,Good,31,Good,0,Good,78,Moderate
Cuba,Media Luna,56,Moderate,1,Good,25,Good,1,Good,56,Moderate
Senegal,Mekhe,171,Unhealthy,2,Good,20,Good,3,Good,171,Unhealthy
